		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	All Arrests	Drunk/Risk	DUI	Liquor Laws	Disorderly	Robbery	Simple Assault	Agg. Assault
									
over21	over21	76.762***	31.619***	51.295***	-71.337***	2.162***	2.045***	5.511***	3.751***
		(4.298)	(1.235)	(1.211)	(0.515)	(0.240)	(0.285)	(0.466)	(0.486)
age_c	Centered Age	-24.712***	4.380***	30.008***	-18.115***	-2.524***	-5.368***	-1.017***	1.567***
		(2.633)	(0.757)	(0.742)	(0.316)	(0.147)	(0.174)	(0.285)	(0.298)
age_cXover21	age_cXover21	-48.061***	-11.783***	-26.272***	14.666***	0.936***	1.862***	-1.938***	-1.927***
		(3.720)	(1.069)	(1.048)	(0.446)	(0.208)	(0.247)	(0.403)	(0.421)
Constant	Constant	1,559.027***	104.410***	195.888***	86.343***	14.775***	23.721***	54.939***	65.306***
		(3.043)	(0.875)	(0.857)	(0.365)	(0.170)	(0.202)	(0.330)	(0.344)
									
Observations		1,461	1,461	1,461	1,461	1,461	1,461	1,461	1,461
R-squared		0.394	0.610	0.936	0.989	0.317	0.715	0.101	0.234
Standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
