		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	hs_diploma	hispanic	white	black	uninsured	employed	married	working_lw	going_school	male
											
over21	over21	0.019*	-0.013	0.019	-0.013	-0.013	0.011	-0.031***	0.014	0.005	0.020
		(0.010)	(0.011)	(0.013)	(0.009)	(0.012)	(0.013)	(0.010)	(0.013)	(0.009)	(0.013)
age_c	Centered Age	0.023***	0.002	-0.008	0.007	0.025***	0.059***	0.051***	0.058***	-0.059***	-0.024***
		(0.007)	(0.008)	(0.009)	(0.007)	(0.008)	(0.009)	(0.007)	(0.009)	(0.007)	(0.009)
age_cXover21	age_cXover21	-0.031***	0.000	0.002	-0.004	-0.020**	-0.028***	0.003	-0.027***	0.021***	0.023**
		(0.008)	(0.009)	(0.010)	(0.007)	(0.009)	(0.010)	(0.008)	(0.010)	(0.007)	(0.010)
Constant	Constant	0.821***	0.242***	0.553***	0.156***	0.317***	0.642***	0.152***	0.642***	0.166***	0.428***
		(0.008)	(0.009)	(0.010)	(0.007)	(0.010)	(0.010)	(0.008)	(0.010)	(0.007)	(0.010)
											
Observations		24,069	24,069	24,069	24,069	24,069	24,069	24,069	24,069	24,069	24,069
R-squared		0.002	0.000	0.000	0.000	0.001	0.018	0.029	0.018	0.029	0.000
Standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
